#oem	row	column
#note that # is originally missing and ## is oem missing
26	0	0
19	0	1
#	0	2
48	0	3
8	0	4
23	0	5
#	0	6
47	0	7
35	0	8
39	0	9
12	0	10
#	0	11
#	0	12
225	0	13
49	0	14
22	1	0
55	1	1
#	1	2
#	1	3
6	1	4
25	1	5
226	1	6
56	1	7
17	1	8
54	1	9
16	1	10
#	1	11
#	1	12
#	1	13
#	1	14
4	2	0
51	2	1
#	2	2
40	2	3
7	2	4
9	2	5
#	2	6
52	2	7
13	2	8
15	2	9
14	2	10
29	2	11
224	2	12
#	2	13
230	2	14
20	3	0
45	3	1
#	3	2
53	3	3
33	3	4
21	3	5
#	3	6
46	3	7
24	3	8
18	3	9
38	3	10
43	3	11
#	3	12
#	3	13
#	3	14
31	4	0
67	4	1
#	4	2
87	4	3
32	4	4
34	4	5
#	4	6
69	4	7
36	4	8
65	4	9
37	4	10
30	4	11
#	4	12
229	4	13
85	4	14
58	5	0
#	5	1
#	5	2
##	5	3
59	5	4
60	5	5
#	5	6
68	5	7
62	5	8
64	5	9
##	5	10
##	5	11
228	5	12
#	5	13
45	5	14
##	6	0
80	6	1
231	6	2
81	6	3
#	6	4
28	6	5
#	6	6
74	6	7
5	6	8
#	6	9
#	6	10
11	6	11
#	6	12
#	6	13
79	6	14
27	7	0
44	7	1
227	7	2
#	7	3
#	7	4
#	7	5
#	7	6
#	7	7
10	7	8
#	7	9
#	7	10
#	7	11
#	7	12
#	7	13
##	7	14
